ID,LWL,B,T,L/B,B/T,Disp,CB,Vs,Fn,P
INPUT_80_1,80,12.4,4.4,6.45,2.82,1712,0.39,10,0.18,
INPUT_80_2,80,12.4,4.4,6.45,2.82,1712,0.39,11,0.2,
INPUT_80_3,80,12.4,4.4,6.45,2.82,1712,0.39,12,0.22,
INPUT_80_4,80,12.4,4.4,6.45,2.82,1712,0.39,13,0.24,
INPUT_80_5,80,12.4,4.4,6.45,2.82,1712,0.39,14,0.26,
INPUT_80_6,80,12.4,4.4,6.45,2.82,1712,0.39,15,0.28,
INPUT_80_7,80,12.4,4.4,6.45,2.82,1712,0.39,16,0.29,
INPUT_80_8,80,12.4,4.4,6.45,2.82,1712,0.39,17,0.31,
INPUT_80_9,80,12.4,4.4,6.45,2.82,1712,0.39,18,0.33,
INPUT_80_10,80,12.4,4.4,6.45,2.82,1712,0.39,19,0.35,
INPUT_80_11,80,12.4,4.4,6.45,2.82,1712,0.39,20,0.37,
INPUT_80_12,80,12.4,4.4,6.45,2.82,1712,0.39,21,0.39,
INPUT_80_13,80,12.4,4.4,6.45,2.82,1712,0.39,22,0.4,
INPUT_80_14,80,12.4,4.4,6.45,2.82,1712,0.39,23,0.42,
INPUT_80_15,80,12.4,4.4,6.45,2.82,1712,0.39,24,0.44,
INPUT_80_16,80,12.4,4.4,6.45,2.82,1712,0.39,25,0.46,
INPUT_80_17,80,12.4,4.4,6.45,2.82,1712,0.39,26,0.48,
INPUT_80_18,80,12.4,4.4,6.45,2.82,1712,0.39,27,0.5,
